name,source,target,value
Architect,Architect,< 1,0
Energy modeler,Architect,1 to 2,3
Mechanical engineer,Architect,3  to 5,0
Academic professional,Architect,6 to 10,1
Software developer,Architect,11  to 15,0
Energy services / mechanical contractor,Architect,16 or more,1
Building physicist,Energy modeler,< 1,1
Electrical engineer,Energy modeler,1 to 2,10
"Architect, software developer, energy modeler",Energy modeler,3  to 5,21
< 1,Energy modeler,6 to 10,21
1 to 2,Energy modeler,11  to 15,5
3  to 5,Energy modeler,16 or more,3
6 to 10,Mechanical engineer,< 1,0
11  to 15,Mechanical engineer,1 to 2,0
16 or more,Mechanical engineer,3  to 5,1
Time < 40%,Mechanical engineer,6 to 10,0
40% =< Time =< 80%,Mechanical engineer,11  to 15,1
Time > 80%,Mechanical engineer,16 or more,4
Not specified,Academic professional,< 1,0
Eppy,Academic professional,1 to 2,3
Params,Academic professional,3  to 5,1
Honeybee,Academic professional,6 to 10,8
TRACE 700,Academic professional,11  to 15,4
Excel spreadsheet,Academic professional,16 or more,3
OpenStudio Measures,Software developer,< 1,0
BCL components,Software developer,1 to 2,0
Algorithm-driven parametric analysis,Software developer,3  to 5,0
regex,Software developer,6 to 10,3
Write custom script,Software developer,11  to 15,0
,Software developer,16 or more,0
,Energy services / mechanical contractor,< 1,0
,Energy services / mechanical contractor,1 to 2,0
,Energy services / mechanical contractor,3  to 5,0
,Energy services / mechanical contractor,6 to 10,0
,Energy services / mechanical contractor,11  to 15,0
,Energy services / mechanical contractor,16 or more,1
,Building physicist,< 1,0
,Building physicist,1 to 2,0
,Building physicist,3  to 5,0
,Building physicist,6 to 10,0
,Building physicist,11  to 15,1
,Building physicist,16 or more,0
,Electrical engineer,< 1,0
,Electrical engineer,1 to 2,1
,Electrical engineer,3  to 5,0
,Electrical engineer,6 to 10,0
,Electrical engineer,11  to 15,0
,Electrical engineer,16 or more,0
,"Architect, software developer, energy modeler",< 1,0
,"Architect, software developer, energy modeler",1 to 2,0
,"Architect, software developer, energy modeler",3  to 5,0
,"Architect, software developer, energy modeler",6 to 10,0
,"Architect, software developer, energy modeler",11  to 15,1
,"Architect, software developer, energy modeler",16 or more,0
,< 1,Time < 40%,0
,< 1,40% =< Time =< 80%,1
,< 1,Time > 80%,0
,1 to 2,Time < 40%,0
,1 to 2,40% =< Time =< 80%,4
,1 to 2,Time > 80%,5
,3  to 5,Time < 40%,4
,3  to 5,40% =< Time =< 80%,4
,3  to 5,Time > 80%,4
,6 to 10,Time < 40%,8
,6 to 10,40% =< Time =< 80%,5
,6 to 10,Time > 80%,3
,11  to 15,Time < 40%,1
,11  to 15,40% =< Time =< 80%,5
,11  to 15,Time > 80%,1
,16 or more,Time < 40%,3
,16 or more,40% =< Time =< 80%,4
,16 or more,Time > 80%,1
,< 1,Not specified,0
,1 to 2,Not specified,7
,3  to 5,Not specified,11
,6 to 10,Not specified,16
,11  to 15,Not specified,5
,16 or more,Not specified,4
,Time < 40%,BCL components,2
,Time < 40%,Eppy,0
,Time < 40%,Excel spreadsheet,9
,Time < 40%,Params,3
,Time < 40%,OpenStudio Measures,0
,Time < 40%,Honeybee,0
,Time < 40%,TRACE 700,0
,Time < 40%,Algorithm-driven parametric analysis,1
,Time < 40%,regex,0
,Time < 40%,Write custom script,6
,40% =< Time =< 80%,BCL components,5
,40% =< Time =< 80%,Eppy,0
,40% =< Time =< 80%,Excel spreadsheet,13
,40% =< Time =< 80%,Params,1
,40% =< Time =< 80%,OpenStudio Measures,0
,40% =< Time =< 80%,Honeybee,0
,40% =< Time =< 80%,TRACE 700,0
,40% =< Time =< 80%,Algorithm-driven parametric analysis,0
,40% =< Time =< 80%,regex,1
,40% =< Time =< 80%,Write custom script,5
,Time > 80%,BCL components,2
,Time > 80%,Eppy,1
,Time > 80%,Excel spreadsheet,7
,Time > 80%,Params,1
,Time > 80%,OpenStudio Measures,0
,Time > 80%,Honeybee,0
,Time > 80%,TRACE 700,0
,Time > 80%,Algorithm-driven parametric analysis,0
,Time > 80%,regex,0
,Time > 80%,Write custom script,1
,Not specified,BCL components,4
,Not specified,Eppy,3
,Not specified,Excel spreadsheet,20
,Not specified,Params,4
,Not specified,OpenStudio Measures,1
,Not specified,Honeybee,1
,Not specified,TRACE 700,1
,Not specified,Algorithm-driven parametric analysis,0
,Not specified,regex,0
,Not specified,Write custom script,11
